team,opponent,matches,wins,losses,avg_runs,avg_opponent_runs,avg_run_margin,win_rate,matchup_key
Punjab Kings,Pune Warriors,6,3,3,129.5,133.0,-3.5,50.0,Punjab Kings vs Pune Warriors
Punjab Kings,Gujarat Lions,4,2,2,173.0,161.75,11.25,50.0,Punjab Kings vs Gujarat Lions
Punjab Kings,Gujarat Titans,5,2,3,165.8,166.4,-0.6,40.0,Punjab Kings vs Gujarat Titans
Punjab Kings,Rising Pune Supergiants,4,2,2,140.5,141.5,-1.0,50.0,Punjab Kings vs Rising Pune Supergiants
Punjab Kings,Kochi Tuskers Kerala,1,1,0,181.0,178.0,3.0,100.0,Punjab Kings vs Kochi Tuskers Kerala
Punjab Kings,Lucknow Super Giants,4,1,3,168.25,192.0,-23.75,25.0,Punjab Kings vs Lucknow Super Giants
Rajasthan Royals,Punjab Kings,28,16,12,172.75,170.07,2.68,57.14,Rajasthan Royals vs Punjab Kings
Rajasthan Royals,Delhi Capitals,29,15,14,160.34,156.17,4.17,51.72,Rajasthan Royals vs Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,28,14,14,150.79,153.64,-2.86,50.0,Rajasthan Royals vs Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,29,14,15,159.9,162.14,-2.24,48.28,Rajasthan Royals vs Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,31,14,15,143.93,150.23,-4.63,45.16,Rajasthan Royals vs Royal Challengers Bengaluru
Rajasthan Royals,Chennai Super Kings,29,13,16,158.41,164.86,-6.45,44.83,Rajasthan Royals vs Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,20,9,11,162.35,158.25,4.1,45.0,Rajasthan Royals vs Sunrisers Hyderabad
Rajasthan Royals,Deccan Chargers,9,7,2,154.11,158.56,-4.44,77.78,Rajasthan Royals vs Deccan Chargers
Rajasthan Royals,Lucknow Super Giants,5,4,1,175.8,167.8,8.0,80.0,Rajasthan Royals vs Lucknow Super Giants
Rajasthan Royals,Pune Warriors,5,4,1,153.4,143.8,9.6,80.0,Rajasthan Royals vs Pune Warriors
Rajasthan Royals,Gujarat Titans,6,1,5,161.0,168.5,-7.5,16.67,Rajasthan Royals vs Gujarat Titans
Rajasthan Royals,Kochi Tuskers Kerala,2,1,1,104.0,103.5,0.5,50.0,Rajasthan Royals vs Kochi Tuskers Kerala
Rising Pune Supergiants,Mumbai Indians,6,4,2,153.67,149.0,4.67,66.67,Rising Pune Supergiants vs Mumbai Indians
Rising Pune Supergiants,Sunrisers Hyderabad,4,3,1,138.5,141.75,-3.25,75.0,Rising Pune Supergiants vs Sunrisers Hyderabad
Rising Pune Supergiants,Delhi Capitals,4,2,2,127.75,164.0,-36.25,50.0,Rising Pune Supergiants vs Delhi Capitals
Rising Pune Supergiants,Punjab Kings,4,2,2,141.5,140.5,1.0,50.0,Rising Pune Supergiants vs Punjab Kings
Rising Pune Supergiants,Royal Challengers Bengaluru,4,2,2,170.25,152.5,17.75,50.0,Rising Pune Supergiants vs Royal Challengers Bengaluru
Rising Pune Supergiants,Gujarat Lions,4,1,3,174.0,173.25,0.75,25.0,Rising Pune Supergiants vs Gujarat Lions
Rising Pune Supergiants,Kolkata Knight Riders,4,1,3,150.75,141.75,9.0,25.0,Rising Pune Supergiants vs Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,31,19,11,158.74,163.58,-4.84,61.29,Royal Challengers Bengaluru vs Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,33,16,17,163.82,162.39,1.42,48.48,Royal Challengers Bengaluru vs Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,31,15,14,150.23,143.93,4.63,48.39,Royal Challengers Bengaluru vs Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,34,14,20,151.32,159.88,-8.56,41.18,Royal Challengers Bengaluru vs Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,33,14,19,162.94,166.48,-3.55,42.42,Royal Challengers Bengaluru vs Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,32,11,21,153.84,160.06,-6.22,34.38,Royal Challengers Bengaluru vs Chennai Super Kings
Royal Challengers Bengaluru,Sunrisers Hyderabad,24,11,13,162.58,166.33,-3.75,45.83,Royal Challengers Bengaluru vs Sunrisers Hyderabad
Royal Challengers Bengaluru,Deccan Chargers,11,5,6,150.18,155.45,-5.27,45.45,Royal Challengers Bengaluru vs Deccan Chargers
Royal Challengers Bengaluru,Pune Warriors,5,5,0,198.0,155.6,42.4,100.0,Royal Challengers Bengaluru vs Pune Warriors
Royal Challengers Bengaluru,Gujarat Lions,5,3,2,186.8,154.2,32.6,60.0,Royal Challengers Bengaluru vs Gujarat Lions
Royal Challengers Bengaluru,Gujarat Titans,5,3,2,179.0,177.4,1.6,60.0,Royal Challengers Bengaluru vs Gujarat Titans
Royal Challengers Bengaluru,Lucknow Super Giants,5,3,2,175.8,171.6,4.2,60.0,Royal Challengers Bengaluru vs Lucknow Super Giants
Royal Challengers Bengaluru,Kochi Tuskers Kerala,2,2,0,145.0,143.0,2.0,100.0,Royal Challengers Bengaluru vs Kochi Tuskers Kerala
