team,opponent,matchup_key
Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru vs Gujarat Titans
Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru vs Lucknow Super Giants
Royal Challengers Bengaluru,Kochi Tuskers Kerala,Royal Challengers Bengaluru vs Kochi Tuskers Kerala
Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru vs Rising Pune Supergiants
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad vs Punjab Kings
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad vs Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad vs Royal Challengers Bengaluru
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad vs Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad vs Chennai Super Kings
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad vs Gujarat Lions
Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad vs Pune Warriors
Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans
Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad vs Lucknow Super Giants
Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad vs Rising Pune Supergiants
